gvkey,conm,ticker,industry,latest_observed_date,risk_horizon,pred_risk_2026
041616,CADRENAL THERAPEUT INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13699713051319123
043931,EXOZYMES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13681629672646523
021035,RIDENOW GROUP INC,,Auto Dealers & Gas Stations,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13592153489589692
039525,HUMACYTE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.134773538261652
108319,CAMBER ENERGY INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13427578359842302
031629,READING INTL INC  -CL A,,Motion Pictures,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13247599378228186
036003,TAOWEAVE INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1321545124053955
182172,MERIDIAN HOLDINGS INC,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.131996488571167
017175,TUHURA BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13158733770251274
297507,FORESIGHT AUTONOMOUS,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13117602095007896
155754,ASHFORD HOSPITALITY TRUST,,Holding & Investment Offices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1310402199625969
004001,DIXIE GROUP INC,,Textile Mill Products,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.13064417168498038
033499,EXICURE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.12988562881946564
022318,RELIANCE GLOBAL GROUP INC,,Insurance Agents,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.12975745722651483
